WWWWWWWWWWWWWWWWWWWWWW
WWWWWWWWWWSSWWWWWWWWWW
WWWWWWWWWWSSWWWWWWWWWW
WWWWWWWWWWSSWWWWWWWWWW
WWWWWWWWWMMMMWWWWWWWWW
WWWWWWWWMMMMMMWWWWWWWW
WWWWWWWMMMMMMMMWWWWWWW
WWWWEEEMMMMMMMMWWWWWWW
WWWWEEEMMMMMMMMWWWWWWW
WWWWWWWMMMMMMMMWWWWWWW
WWWWWWWWMMMMMMWWWWWWWW
WWWWWWWWWMMMMWWWWWWWWW
WWWWWWWWWWWWWWWWWWWWWW
WWWWWWWWWWWWWWWWWWWWWW
OR,11.5,8.5,11.5,8.5,0.00,0,0

OR,11.5,8,11.5,8.5,0.03,0,0
OR,11.5,7.5,11.5,8.5,0.03,0,0
OR,11.5,7,11.5,8.5,0.03,0,0
OR,11.5,6.5,11.5,8.5,0.03,0,0
OR,11.5,6,11.5,8.5,0.03,0,0
OR,11.5,5.5,11.5,8.5,0.03,0,0
OR,11.5,5,11.5,8.5,0.03,0,0

OR,12,8.5,11.5,8.5,0.03,0,0
OR,12.5,8.5,11.5,8.5,0.03,0,0
OR,13,8.5,11.5,8.5,0.03,0,0
OR,13.5,8.5,11.5,8.5,0.03,0,0
OR,14,8.5,11.5,8.5,0.03,0,0
OR,14.5,8.5,11.5,8.5,0.03,0,0
OR,15,8.5,11.5,8.5,0.03,0,0

OR,11.5,9,11.5,8.5,0.03,0,0
OR,11.5,9.5,11.5,8.5,0.03,0,0
OR,11.5,10,11.5,8.5,0.03,0,0
OR,11.5,10.5,11.5,8.5,0.03,0,0
OR,11.5,11,11.5,8.5,0.03,0,0
OR,11.5,11.5,11.5,8.5,0.03,0,0
OR,11.5,12,11.5,8.5,0.03,0,0

OR,11,8.5,11.5,8.5,0.03,0,0
OR,10.5,8.5,11.5,8.5,0.03,0,0
OR,10,8.5,11.5,8.5,0.03,0,0
OR,9.5,8.5,11.5,8.5,0.03,0,0
OR,9,8.5,11.5,8.5,0.03,0,0
OR,8.5,8.5,11.5,8.5,0.03,0,0
OR,8,8.5,11.5,8.5,0.03,0,0

C,11.5,5.5
C,14.5,8.5
C,11.5,11.5
